comme en yeu thaï,cosine_similarity,Marque
1876,1.0000000229979435,comme en yeu thaï
forum akomca,cosine_similarity,Marque
113,0.99999997571905,forum akomca
bluff battle,cosine_similarity,Marque
1252,1.0000000322245883,bluff battle
tk tibo kiss,cosine_similarity,Marque
1527,0.9999999683824998,tk tibo kiss
ôtea pearls,cosine_similarity,Marque
861,1.000000001803776,ôtea pearls
h academy,cosine_similarity,Marque
1582,1.0000000183587872,h academy
bo corp,cosine_similarity,Marque
1088,0.8173336198819255,bo productions
1135,1.0000000123818222,bo corp
provinciae,cosine_similarity,Marque
987,0.9999999909126935,provinciae
öctagon,cosine_similarity,Marque
824,0.9999999512063017,öctagon
la terre la nuit,cosine_similarity,Marque
1903,0.9999999967999941,la terre la nuit
houmous gaga,cosine_similarity,Marque
123,1.0000000144405545,houmous gaga
mieux sassurer,cosine_similarity,Marque
627,0.99999996281174,mieux sassurer
coflex,cosine_similarity,Marque
1002,0.9999999926249682,coflex
echosystème,cosine_similarity,Marque
1210,1.000000009352283,echosystème
bioquanticien,cosine_similarity,Marque
1198,1.0000000153527349,bioquanticien
1249,0.9192289972337179,bioquanticienne
ö saveurs gourmandes en region,cosine_similarity,Marque
829,0.9999999822416078,ö saveurs gourmandes en region
voyage gourmand cuisine à domicile,cosine_similarity,Marque
589,1.0000000097873532,voyage gourmand cuisine à domicile
le verger de pépé rené ,cosine_similarity,Marque
167,0.9999999741324818,le verger de pépé rené 
cotar,cosine_similarity,Marque
501,1.0000000714162975,cotar
jp,cosine_similarity,Marque
134,0.99999999337245,jp
karabistrouille et le village des karabis,cosine_similarity,Marque
668,0.999999999124263,karabistrouille et le village des karabis
la maison traisnel,cosine_similarity,Marque
149,0.9999999754869069,la maison traisnel
nsk academy,cosine_similarity,Marque
1635,0.9999999856060418,nsk academy
green chocs,cosine_similarity,Marque
1318,1.0000000212040479,green chocs
 htagvsd,cosine_similarity,Marque
313,0.8257372239200028, htagvoici
314,1.0000000061660788, htagvsd
la casa el massa,cosine_similarity,Marque
1323,0.9999999610251491,la casa el massa
ocinema,cosine_similarity,Marque
1126,1.0000000070188202,ocinema
jardin intelligent,cosine_similarity,Marque
670,0.9999999912448638,jardin intelligent
sous le bois,cosine_similarity,Marque
253,0.9999999811784345,sous le bois
droplet diagnostics,cosine_similarity,Marque
1070,0.9999999966001151,droplet diagnostics
1287,0.9999999966001151,droplet diagnostics
high tech sofa,cosine_similarity,Marque
1166,1.0000000315082926,high tech sofa
 je bosse en grande distribution ,cosine_similarity,Marque
32,1.0000000319324147, je bosse en grande distribution 
stellapatrimoine,cosine_similarity,Marque
603,0.9999999700473762,stellapatrimoine
vow value of work,cosine_similarity,Marque
267,0.9999999874128971,vow value of work
and the winner is,cosine_similarity,Marque
67,0.9999999817286315,and the winner is
le taittinger,cosine_similarity,Marque
166,1.0000000270757006,le taittinger
cité des civilisations du vin,cosine_similarity,Marque
1201,1.000000030709518,cité des civilisations du vin
héritages,cosine_similarity,Marque
125,0.9999999738144302,héritages
travaillolique,cosine_similarity,Marque
e t rayon,cosine_similarity,Marque
mètre H,cosine_similarity,Marque
e e e,cosine_similarity,Marque
e,cosine_similarity,Marque
H,cosine_similarity,Marque
943,0.8002793773475511,ôcuir
e e,cosine_similarity,Marque
e travaillolique,cosine_similarity,Marque
téléphone_cellulaire travaillolique e,cosine_similarity,Marque
O,cosine_similarity,Marque
robot,cosine_similarity,Marque
armée,cosine_similarity,Marque
e rayon nox radius,cosine_similarity,Marque
ciel rayon rayon e robot,cosine_similarity,Marque
e travaillolique oxygène rayon,cosine_similarity,Marque
H travaillolique ciel robot e,cosine_similarity,Marque
ciel e,cosine_similarity,Marque
e robot,cosine_similarity,Marque
ciel,cosine_similarity,Marque
oxygène,cosine_similarity,Marque
e ciel,cosine_similarity,Marque
Y rayon,cosine_similarity,Marque
e envers e,cosine_similarity,Marque
